UserId,Rate
16000,4.8
16001,4.5
16002,4.4
16003,4.9
16004,4.8
16005,4.4
16006,4
16007,4.2
16008,4.9
16009,4.8
16010,4.9
16011,4.2
16012,4.8
16013,4.2
16014,4.3
16015,3.6
16016,4
16017,4.5
16018,4.5
16019,4.4
16020,4.7
16021,4.5
16022,3
16023,3.8
16024,3.7
16025,3.8
16026,3.2
16027,3.1
16028,3.7
16029,3.7
16030,0
16031,4.1
16032,3.1
16033,3.6
16034,4.3
16035,4.2
16036,3.6
16037,4
16038,3.2
16039,4.9
16040,3.3
16041,3.6
16042,4
16043,4.8
16044,4.7
16045,4.5
16046,4.2
16047,4.8
16048,4.9
16049,4.6
16050,4.9
16051,4.6
16052,4.3
16053,4
16054,4.6
16055,4.4
16056,4.2
16057,4.2
16058,0
16059,4.7
16060,4.6
16061,4.3
16062,4.5
16063,4.4
16064,3.1
16065,4.1
16066,4.8
16067,4.6
16068,3.9
16069,0
16070,3.4
16071,3.5
16072,4.3
16073,3.9
16074,4.3
16075,4.3
16076,4.4
16077,0
16078,0
16079,4.4
16080,4.6
16081,4.1
16082,3.3
16083,3.3
16084,3.4
16085,3.4
16086,3.4
16087,3.4
16088,3.5
16089,3.9
16090,3.7
16091,3.5
16092,3.6
16093,3.8
16094,3.9
16095,3.5
16096,3.5
16097,3.6
16098,3.5
16099,3.8
16100,3.7
16101,3.4
16102,3.5
16103,4.5
16104,4.5
16105,4.6
16106,3.9
16107,3.7
16108,4.3
16109,4.2
16110,4
16111,4.1
16112,4.3
16113,4.2
16114,4.1
16115,4.1
16116,4.2
16117,4.1
16118,4.1
16119,4.4
16120,4.4
16121,4.2
16122,4.1
16123,4.6
16124,4.9
16125,4.5
16126,3.9
16127,3.9
16128,3.8
16129,3.5
16130,4.3
16131,4.1
16132,4.4
16133,4
16134,4
16135,4.2
16136,4
16137,4
16138,3.9
16139,4.1
16140,4
16141,4.3
16142,4.2
16143,3.2
16144,4.6
16145,4.5
16146,4.6
16147,4.5
16148,3.9
16149,4.3
16150,4.1
16151,4.2
16152,4.3
16153,4.4
16154,4.1
16155,4.4
16156,4.3
16157,4.4
16158,4.4
16159,4
16160,4.1
16161,4.3
16162,4
16163,4
16164,4.4
16165,3.7
16166,4.1
16167,4.1
16168,4.1
16169,4.4
