ReviewId,UserID,UserId
1,1774,17920
2,23679,12771
3,10718,10879
4,21512,14520
5,32293,16861
6,24242,14489
7,14556,10841
8,8893,16154
9,11559,13824
10,21591,10172
11,3573,12353
12,19532,14394
13,23511,11109
14,29045,16007
15,25077,17452
16,29775,11571
17,13551,14779
18,1520,11014
19,2284,13710
20,4162,14921
21,11895,17892
22,19662,16718
23,16160,10018
24,14336,15406
25,11517,13898
26,27830,15821
27,5359,10582
28,4624,10784
29,20642,11993
30,4636,10300
31,14751,11223
32,14390,16943
33,18773,10716
34,28087,10737
35,5524,14260
36,20070,15004
37,12382,13623
38,12980,12688
39,24622,14769
40,22252,13405
41,3913,14142
42,4467,10018
43,16539,17451
44,11159,11582
45,17548,14001
46,20247,14078
47,32720,17955
48,16828,14945
49,6855,16470
50,11604,15587
51,19296,12008
52,10582,12134
53,21127,13873
54,21256,12584
55,23710,10789
56,21563,17062
57,7799,14113
58,5603,11210
59,26893,14789
60,9801,15192
61,12373,16730
62,16043,10341
63,7786,16382
64,29711,12054
65,3068,12410
66,21208,10046
67,9618,13505
68,24185,14650
69,16906,15690
70,14223,16445
71,261,11836
72,23604,11618
73,9032,14804
74,21682,17592
75,7671,15882
76,4335,12564
77,10753,11228
78,10876,14057
79,22727,15865
80,1250,15866
81,33,15292
82,23603,15490
83,23926,11189
84,20120,16974
85,25076,16671
86,20670,10839
87,4421,14485
88,20048,14929
89,9841,16090
90,21637,17850
91,8587,16706
92,31394,14388
93,11729,15266
94,20879,17893
95,29106,10944
96,11260,13914
97,30415,14318
98,302,12815
99,7669,15514
100,27172,17013
101,1837,14954
102,15408,14945
103,31096,10222
104,2032,14413
105,5632,15956
106,14151,11394
107,11172,14098
108,11233,13791
109,24234,11127
110,13568,14415
111,21718,12834
112,27870,11554
113,25866,11586
114,10545,14886
115,8978,17704
116,24437,12325
117,14050,13573
118,30354,11489
119,8185,15014
120,2548,15700
121,1453,13255
122,11278,13345
123,32260,12418
124,32134,17497
125,21651,12998
126,20356,11328
127,29388,12751
128,22441,10078
129,10434,15436
130,16197,16104
131,4704,17012
132,23588,16433
133,12770,16234
134,10690,13954
135,16546,14459
136,11109,17857
137,23365,10388
138,29870,13638
139,16951,17016
140,11088,11717
141,29610,12760
142,7206,13873
143,22416,15891
144,29548,16252
145,25525,10620
146,19282,10901
147,17505,12213
148,9024,11343
149,17108,16948
150,11547,13770
151,32382,15051
152,28043,16146
153,2648,10301
154,9844,17858
155,29485,13050
156,27865,15337
157,8358,15577
